Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
1/1/18,"1,865","5,586",2.43,3,870,201,0,0,657
1/2/18,"2,028","10,149",4.47,3,761,264,0,0,884
1/3/18,"2,280","11,306",4.9,6,654,312,6,22,"1,192"
1/4/18,"2,025","5,974",2.54,10,751,194,22,23,852
1/5/18,"2,542","12,326",5.38,12,570,245,59,56,"1,474"
1/6/18,"1,515","1,313",0.57,0,797,80,0,0,207
1/7/18,"2,101","8,372",3.68,7,632,201,23,22,936
1/8/18,"2,521","15,725",6.87,13,676,305,26,43,"1,459"
1/9/18,"1,949","8,725",3.8,9,818,223,0,0,748
1/10/18,"2,504","12,952",5.63,7,691,314,20,41,"1,449"
1/11/18,"2,161","11,482",4.99,12,773,284,23,12,"1,059"
1/12/18,"2,486","11,794",5.15,6,607,314,34,35,"1,433"
1/13/18,"1,988","10,444",3,9,714,258,17,6,871
1/14/18,"1,870","7,262",3.16,12,676,174,6,8,656
1/15/18,"2,103","11,423",4.97,23,649,206,23,20,939
1/16/18,"2,355","14,022",6.15,8,761,212,21,52,"1,223"
1/17/18,"2,382","11,239",4.89,10,615,342,26,3,"1,319"
1/18/18,"2,990","25,956",11.29,42,483,433,56,54,"2,108"
1/19/18,"2,430","16,505",7.18,29,626,321,23,18,"1,366"
1/20/18,"2,268","13,682",5.95,20,831,243,20,31,"1,148"
1/21/18,"2,217","11,357",5.05,12,628,162,35,60,"1,062"
1/22/18,"2,522","15,209",6.63,21,611,307,29,40,"1,457"
1/23/18,"2,458","13,539",5.92,21,542,396,12,13,"1,446"
1/24/18,"2,362","12,055",5.24,20,597,277,15,30,"1,263"
1/25/18,"2,482","13,849",6.08,18,565,300,28,35,"1,419"
1/26/18,"2,965","26,722",11.7,79,400,316,56,90,"1,969"
1/27/18,"2,246","9,446",4.15,21,735,248,10,23,"1,088"
1/28/18,"1,710","4,696",2.04,6,612,119,2,8,440
1/29/18,"2,573","15,737",7.1,21,636,275,29,68,"1,513"
1/30/18,"2,050","10,636",4.63,26,769,227,19,8,892
1/31/18,"2,672","17,169",7.6,19,478,338,31,46,"1,661"
2/1/18,"2,353","14,773",7.01,17,671,203,10,64,"1,204"
2/2/18,"2,594","15,571",7.07,31,591,331,11,35,"1,524"
2/3/18,"2,149","10,938",5.08,13,741,190,24,30,956
2/4/18,"2,266","13,929",6.13,10,588,250,32,20,"1,146"
2/5/18,"1,837","7,009",3.05,28,839,168,0,0,573
2/6/18,"1,832","7,269",3.16,20,758,161,0,0,590
2/7/18,"2,530","15,339",6.96,16,514,289,18,48,"1,465"
2/8/18,"2,965","24,454",10.98,62,449,285,29,107,"1,946"
2/9/18,"2,350","11,515",5.01,20,496,302,28,17,"1,286"
2/10/18,"2,205","10,869",5.13,8,578,215,8,36,"1,049"
2/11/18,"1,919","8,160",3.55,9,667,212,0,0,728
2/12/18,"3,046","20,185",9.19,54,461,384,30,69,"2,097"
2/13/18,"2,138","12,120",5.27,29,667,240,14,14,990
2/14/18,"2,824","19,397",8.98,15,367,351,27,60,"1,841"
2/15/18,"2,970","23,243",10.36,51,579,278,73,90,"1,986"
2/16/18,"2,875","17,901",7.79,34,394,413,58,44,"1,959"
2/17/18,"2,320","13,212",6.27,7,773,249,3,48,"1,087"
2/18/18,"1,845","5,811",2.53,11,919,217,0,0,655
2/19/18,"1,917","7,569",3.29,6,758,239,0,0,749
2/20/18,"3,609","29,486",13.34,97,535,320,44,167,"2,713"
2/21/18,"3,133","24,495",11.35,105,422,321,32,106,"2,165"
2/22/18,"2,209","13,393",5.83,24,786,301,15,14,"1,122"
2/23/18,"2,861","20,981",9.35,27,503,424,47,41,"1,946"
2/24/18,"2,967","26,484",12.99,61,549,276,21,114,"1,943"
2/25/18,"2,097","11,525",5.01,15,758,225,24,10,954
2/26/18,"2,873","16,720",7.62,27,533,313,37,88,"1,882"
2/27/18,"2,714","20,460",9.01,64,571,309,72,46,"1,717"
2/28/18,"2,972","21,436",8.73,35,493,314,46,101,"1,993"
3/1/18,"2,047","10,224",4.5,17,734,237,10,10,889
3/2/18,"2,212","12,682",5.52,94,717,277,20,23,"1,101"
3/3/18,"2,146","10,329",4.49,21,993,252,13,14,987
3/4/18,"1,947","7,766",3.38,18,757,186,17,5,746
3/5/18,"2,807","17,410",8.09,16,512,360,19,54,"1,810"
3/6/18,"2,302","13,747",5.98,30,543,279,32,26,"1,225"
3/7/18,"2,467","15,547",6.92,23,790,301,35,31,"1,407"
3/8/18,"2,018","8,401",3.65,19,595,242,0,0,846
3/9/18,"2,901","20,871",9.78,62,585,306,47,81,"1,907"
3/10/18,"2,248","12,172",5.32,16,592,287,5,18,"1,134"
3/11/18,"1,949","7,690",3.34,7,828,241,0,0,758
3/12/18,"3,225","27,883",12.76,48,274,461,51,67,"2,377"
3/13/18,"2,074","10,361",4.51,23,796,260,3,6,909
3/14/18,"3,160","30,831",14.46,136,514,305,40,137,"2,200"
3/15/18,"2,164","11,221",4.88,18,672,291,4,15,"1,063"
3/16/18,"2,430","16,746",8.02,57,595,257,24,40,"1,335"
3/17/18,"2,192","13,251",6.04,16,901,208,36,35,"1,062"
3/18/18,"2,319","17,295",7.48,55,664,187,20,79,"1,193"
3/19/18,"2,586","19,615",8.55,34,621,389,26,21,"1,604"
3/20/18,"2,708","20,239",9.3,28,660,368,9,45,"1,701"
3/21/18,"2,039","9,887",4.34,28,841,216,20,15,872
3/22/18,"2,355","12,145",5.28,33,659,412,10,4,"1,347"
3/23/18,"2,418","12,944",5.65,33,737,406,9,0,"1,403"
3/24/18,"2,213","12,516",6.49,53,618,187,7,51,"1,042"
3/25/18,"2,021","9,680",4.27,8,796,188,18,20,836
3/26/18,"2,297","13,706",6.03,28,711,336,0,0,"1,204"
3/27/18,"2,147","8,417",3.76,13,713,288,7,8,"1,013"
3/28/18,"2,782","18,834",8.19,32,646,386,37,42,"1,805"
3/29/18,"3,651","31,788",14.71,55,429,415,111,121,"2,815"
3/30/18,"2,607","17,935",7.8,50,834,296,53,49,"1,556"
3/31/18,"2,739","20,580",9.37,24,572,325,58,54,"1,749"
4/1/18,"1,870","6,395",2.78,11,669,216,0,0,674
4/2/18,"2,767","20,120",8.84,23,618,446,26,36,"1,818"
4/3/18,"2,876","19,870",8.71,24,445,470,46,16,"1,971"
4/4/18,"2,966","20,026",8.75,51,572,568,4,6,"2,092"
4/5/18,"2,974","21,209",9.28,26,473,555,15,18,"2,117"
4/6/18,"3,728","28,863",13.1,114,404,527,53,129,"2,963"
4/7/18,"2,238","13,305",5.79,38,867,281,27,2,"1,118"
4/8/18,"2,043","9,103",3.96,14,641,283,8,2,919
4/9/18,"2,958","25,118",11.15,36,601,409,22,61,"2,012"
4/10/18,"2,637","19,814",9.67,61,571,309,17,58,"1,575"
4/11/18,"2,622","17,668",7.78,32,557,342,26,51,"1,591"
4/12/18,"2,684","18,593",8.45,38,550,399,10,29,"1,675"
4/13/18,"3,796","29,500",13.77,60,348,532,59,123,"3,032"
4/14/18,"2,002","9,259",4.03,9,699,239,6,5,847
4/15/18,"2,161","10,518",4.72,16,678,288,2,16,"1,053"
4/16/18,"3,583","31,445",14.88,59,390,499,70,114,"2,799"
4/17/18,"3,232","28,665",13.18,66,516,437,24,101,"2,320"
4/18/18,"3,438","29,365",13.63,59,454,443,57,103,"2,544"
4/19/18,"3,124","26,321",11.83,69,458,498,14,85,"2,238"
4/20/18,"2,946","24,303",10.63,45,632,507,10,39,"2,044"
4/21/18,"2,607","19,341",8.41,25,301,429,19,13,"1,647"
4/22/18,"2,035","8,599",3.74,16,998,292,0,0,906
4/23/18,"3,302","28,338",12.62,38,738,607,38,57,"2,525"
4/24/18,"3,253","30,185",13.49,32,464,531,49,61,"2,428"
4/25/18,"3,069","27,881",12.22,63,620,487,13,80,"2,199"
4/26/18,"3,089","28,487",12.43,66,469,483,32,74,"2,225"
4/27/18,"3,322","28,026",13.44,49,375,456,31,103,"2,440"
4/28/18,"2,520","19,856",8.64,39,523,329,63,30,"1,524"
4/29/18,"1,964","8,856",3.85,9,636,230,5,1,789
4/30/18,"2,471","17,223",7.5,16,654,350,30,13,"1,426"
5/1/18,"2,082","11,390",4.95,18,748,253,0,0,919
5/2/18,"3,230","27,817",12.19,62,526,417,46,88,"2,323"
5/3/18,"2,342","14,901",6.63,24,964,266,12,30,"1,222"
5/4/18,"2,594","17,727",7.8,28,580,409,10,11,"1,572"
5/5/18,"2,493","19,122",8.35,61,597,248,10,76,"1,418"
5/6/18,"2,054","9,804",4.26,9,668,264,15,2,920
5/7/18,"2,758","21,386",9.42,24,580,381,32,42,"1,778"
5/8/18,"3,080","28,112",13.23,101,561,280,47,135,"2,089"
5/9/18,"2,418","15,022",6.53,12,629,331,28,24,"1,361"
5/10/18,"2,313","14,017",6.1,19,545,311,8,7,"1,210"
5/11/18,"3,018","25,759",11.64,58,682,351,42,95,"2,059"
5/12/18,"2,502","15,706",7.46,98,541,317,26,35,"1,431"
5/13/18,"2,273","12,791",5.56,21,607,308,21,6,"1,199"
5/14/18,"5,420","44,397",19.77,101,66,302,170,357,"4,828"
5/15/18,"3,139","19,966",9.01,21,579,394,32,88,"2,186"
5/16/18,"3,205","18,902",8.39,24,492,481,26,48,"2,325"
5/17/18,"3,073","19,606",8.58,29,617,412,49,42,"2,141"
5/18/18,"4,085","35,643",16.48,86,351,410,61,180,"3,281"
5/19/18,"2,705","13,195",5.99,16,550,320,14,37,"1,665"
5/20/18,"2,635","16,845",7.35,13,369,336,56,25,"1,644"
5/21/18,"4,209","31,187",14.56,37,363,512,121,148,"3,513"
5/22/18,"2,974","22,284",9.69,19,644,420,73,49,"2,068"
5/23/18,"2,978","22,200",9.74,24,468,459,56,39,"2,071"
5/24/18,"2,615","18,186",7.91,29,677,449,28,3,"1,664"
5/25/18,"2,586","20,102",8.74,25,592,301,51,64,"1,576"
5/26/18,"2,120","12,014",5.23,14,754,246,29,10,989
5/27/18,"1,935","9,786",4.26,18,663,151,27,13,733
5/28/18,"1,767","4,479",1.95,9,775,185,0,0,549
5/29/18,"3,206","28,786",12.54,43,543,363,108,70,"2,298"
5/30/18,"2,429","14,622",6.36,18,657,385,9,12,"1,404"
