DayofWeek,StartTime,EndTime,MinutesAsleep,MinutesAwake,NumberofAwakenings,TimeinBed,MinutesREMSleep,MinutesLightSleep,MinutesDeepSleep
12/31/17,2017-12-31 11:49PM,2018-01-01 5:58AM,332,37,23,369,50,238,44
1/1/18,2018-01-02 1:18AM,2018-01-02 8:13AM,362,53,25,415,79,225,58
1/2/18,2018-01-02 11:33PM,2018-01-03 6:59AM,400,46,28,446,55,264,81
1/3/18,2018-01-03 11:27PM,2018-01-04 6:57AM,404,46,34,450,90,238,76
1/4/18,2018-01-04 10:45PM,2018-01-05 6:59AM,440,54,38,494,101,245,94
1/5/18,2018-01-05 11:43PM,2018-01-06 9:23AM,554,26,1,580,N/A,N/A,N/A
1/6/18,2018-01-06 11:33PM,2018-01-07 8:55AM,484,78,46,562,81,333,70
1/7/18,2018-01-07 10:51PM,2018-01-08 5:21AM,349,41,30,390,32,242,75
1/8/18,2018-01-08 10:35PM,2018-01-09 5:14AM,360,39,28,399,80,213,67
1/9/18,2018-01-09 10:44PM,2018-01-10 4:58AM,339,35,24,374,37,269,33
1/10/18,2018-01-10 11:05PM,2018-01-11 4:53AM,305,43,21,348,70,177,58
1/11/18,2018-01-11 11:17PM,2018-01-12 6:47AM,403,47,38,450,77,246,80
1/12/18,2018-01-13 1:27AM,2018-01-13 8:52AM,399,46,32,445,61,241,97
1/13/18,2018-01-13 11:23PM,2018-01-14 8:59AM,525,51,49,576,121,333,71
1/14/18,2018-01-14 11:35PM,2018-01-15 8:37AM,482,60,32,542,113,254,115
1/15/18,2018-01-15 11:22PM,2018-01-16 5:57AM,344,50,25,394,73,201,70
1/16/18,2018-01-16 10:24PM,2018-01-17 5:58AM,397,57,37,454,58,266,73
1/17/18,2018-01-17 9:40PM,2018-01-18 4:35AM,366,48,28,414,83,221,62
1/18/18,2018-01-18 11:13PM,2018-01-19 6:46AM,403,49,37,452,87,256,60
1/19/18,2018-01-20 12:35AM,2018-01-20 2:56AM,139,2,0,141,N/A,N/A,N/A
1/20/18,2018-01-20 7:11AM,2018-01-20 10:05AM,162,5,2,174,N/A,N/A,N/A
1/21/18,2018-01-21 10:42PM,2018-01-22 6:16AM,395,58,30,453,87,241,67
1/21/18,2018-01-21 12:43AM,2018-01-21 9:59AM,482,73,34,555,121,252,109
1/22/18,2018-01-22 10:51PM,2018-01-23 6:49AM,441,36,32,477,111,262,68
1/23/18,2018-01-23 10:19PM,2018-01-24 7:00AM,477,44,29,521,104,295,78
1/24/18,2018-01-24 10:33PM,2018-01-25 7:05AM,458,54,34,512,127,237,94
1/25/18,2018-01-25 9:19PM,2018-01-26 6:57AM,497,81,39,578,109,302,86
1/26/18,2018-01-27 1:49AM,2018-01-27 8:53AM,359,65,32,424,48,265,46
1/28/18,2018-01-28 10:59PM,2018-01-29 6:58AM,455,23,1,478,N/A,N/A,N/A
1/27/18,2018-01-28 12:02AM,2018-01-28 10:41AM,586,53,4,639,N/A,N/A,N/A
1/29/18,2018-01-29 11:45PM,2018-01-30 6:57AM,399,33,1,432,N/A,N/A,N/A
1/30/18,2018-01-30 9:55PM,2018-01-31 7:03AM,500,47,33,547,136,275,89
1/31/18,2018-01-31 10:49PM,2018-02-01 7:01AM,443,49,30,492,73,317,53
2/1/18,2018-02-01 11:07PM,2018-02-02 6:59AM,426,46,28,472,125,240,61
2/3/18,2018-02-03 11:03PM,2018-02-04 8:13AM,492,58,43,550,126,282,84
2/2/18,2018-02-03 12:02AM,2018-02-03 7:37AM,441,14,1,455,N/A,N/A,N/A
2/4/18,2018-02-04 11:45PM,2018-02-05 6:59AM,403,30,30,433,128,199,76
2/5/18,2018-02-05 10:25PM,2018-02-06 7:06AM,477,44,39,521,85,300,92
